State,Best_Model,XGB_RMSE,SARIMA_RMSE,Prophet_RMSE,LSTM_RMSE
Alabama,XGBoost,123380942.90165976,136442711.33710736,155475625.22614768,140039982.24489868
Arizona,XGBoost,129802807.0935011,148021756.99235174,168368725.03916886,150512064.6903654
Arkansas,XGBoost,63658042.10448541,72553594.55295056,82974663.3221568,74163982.99010037
California,XGBoost,552993125.486449,586754296.1506244,667777989.6290605,597062393.1978713
Colorado,XGBoost,108349995.39514557,117161940.69744053,133662027.11393742,119995295.29879518
Connecticut,XGBoost,50049053.71441339,58787477.107641056,67235842.5956961,60387548.046275415
Florida,SARIMA,530139920.88691884,511210865.2107212,579144784.5632025,519213886.1332867
Georgia,XGBoost,219921476.7927585,253665781.7851553,288768786.74574375,257402370.29533845
Illinois,XGBoost,205118074.77659094,214887081.4189713,244572609.3068652,218942320.67112067
Indiana,XGBoost,130051842.71639282,147794834.1437682,169674968.4647157,152343772.20655063
Iowa,XGBoost,68706759.85225683,75797121.6251928,87467496.39039248,77425489.1384562
Kansas,XGBoost,46136235.22039133,58986760.74547739,67697691.17883472,60373486.01418965
Kentucky,XGBoost,98117694.81217892,113840522.32596125,130593266.67240477,116408069.65626854
Louisiana,XGBoost,111050229.91662164,122626408.86827202,139013028.02355677,125240287.11817122
Maine,XGBoost,27915044.255426228,31091824.38615136,35398615.0253345,32066583.627852842
Maryland,XGBoost,90030412.24523485,107619472.40442763,123247425.09593442,110089493.75279574
Massachusetts,XGBoost,98377711.74530211,122373123.94674781,138398935.4639402,124896277.9592475
Michigan,XGBoost,170328552.21559545,193542520.067827,222011295.27900577,197799743.3977798
Minnesota,XGBoost,92055582.99631457,102029017.18163331,116189113.86124732,104586141.32644121
Mississippi,XGBoost,70023701.33020738,81393351.20945612,90181749.5777981,83287290.13055378
Missouri,XGBoost,98762333.95521846,126848766.41180147,148064683.21782425,129796388.81960173
Nebraska,XGBoost,32843207.32778735,40643049.8393978,45039755.26491784,41862776.09736632
Nevada,XGBoost,58533560.17294391,67852139.35839422,77970414.99129179,69378210.71296048
New Hampshire,XGBoost,32248784.94901581,36868741.754367076,42086099.05973988,38113051.84239048
New Mexico,XGBoost,44379107.534711994,47940893.73336717,55277689.274902016,49181395.6941644
New York,XGBoost,260739712.92283684,289171640.2918784,330810686.34249127,296692988.5070349
North Carolina,XGBoost,185463205.62851757,236195760.19952676,270165263.04078686,240682446.25589585
Ohio,XGBoost,227271898.80475146,248253757.05507994,283886424.6803847,252855904.7775075
Oklahoma,XGBoost,86053764.3025267,95734022.22908755,110257011.11884324,98112744.85207275
Oregon,XGBoost,68722678.07310888,74812723.69522102,86155300.94310287,76338944.15640205
Pennsylvania,XGBoost,207334798.73513508,240774879.03865162,277785492.52109814,245851578.3148263
Rhode Island,XGBoost,15558925.058481842,17122562.92254372,19469544.103858165,17478146.158616815
South Carolina,XGBoost,106571572.75490402,128005029.69863646,147099016.60099244,133260254.38733995
South Dakota,XGBoost,16510994.942442652,18739028.144277744,21301404.366789397,19262782.84274431
Tennessee,XGBoost,163145866.12166753,171085293.39588025,194784977.92932913,174657331.79633778
Texas,XGBoost,525611980.2000503,597958870.00935,694843569.9977088,609354433.7015535
Utah,XGBoost,49477390.04802336,55945334.293963976,63347313.92110391,57110426.20160696
Vermont,XGBoost,10189001.89247563,11849188.86126973,13626525.8559667,12391648.625526575
Virginia,XGBoost,159223572.08076268,191077707.15682203,222931901.29617438,196142356.1453719
Washington,XGBoost,94537360.88512163,122960331.9918638,139120788.61950797,125628258.63685802
West Virginia,XGBoost,44300703.34391948,49221506.81156791,56679683.707224965,50992779.09548519
Wisconsin,XGBoost,83085313.01079866,103070741.18243684,117428907.97132446,105497044.24821657
Wyoming,XGBoost,12401544.404320423,13932387.119155543,16066753.342848258,14338000.67700022
